hip,iau_name_en,name_ko,traditional_ko,note,source,confidence
677,Alpheratz,알페라츠,,현대 식별: α And Aa. 2022-04-04 IAU-CSN의 V=2.07 기준 밝은 별. 고유명 적용 성분과 HIP 관측 레코드의 단위가 다를 수 있음. 한국어는 Stellarium 번역 용례이며 학회 표준 음역이라고 단정하지 않음.,https://www.pas.rochester.edu/~emamajek/WGSN/IAU-CSN.txt | https://raw.githubusercontent.com/Stellarium/stellarium/master/po/stellarium-sky/ko.po,medium
746,Caph,카프,왕랑(王良),현대 식별: β Cas A. 2022-04-04 IAU-CSN의 V=2.28 기준 밝은 별. 고유명 적용 성분과 HIP 관측 레코드의 단위가 다를 수 있음. 한국어는 Stellarium 번역 용례이며 학회 표준 음역이라고 단정하지 않음. 전통 대응은 Stellarium korean 재구성에 한정; 성군 구성별 표시는 개별 고유명이 아님. 이 필드를 전통 성군의 유일 ID 또는 독점 검색 별칭으로 사용하지 않는다.,https://www.pas.rochester.edu/~emamajek/WGSN/IAU-CSN.txt | https://raw.githubusercontent.com/Stellarium/stellarium/master/po/stellarium-sky/ko.po | https://raw.githubusercontent.com/Stellarium/stellarium/master/skycultures/korean/index.json,medium
1067,Algenib,알게니브,,현대 식별: γ Peg. 2022-04-04 IAU-CSN의 V=2.83 기준 밝은 별. 고유명 적용 성분과 HIP 관측 레코드의 단위가 다를 수 있음. 한국어는 Stellarium 번역 용례이며 학회 표준 음역이라고 단정하지 않음.,https://www.pas.rochester.edu/~emamajek/WGSN/IAU-CSN.txt | https://raw.githubusercontent.com/Stellarium/stellarium/master/po/stellarium-sky/ko.po,medium
2081,Ankaa,안카,,현대 식별: α Phe. 2022-04-04 IAU-CSN의 V=2.40 기준 밝은 별. 고유명 적용 성분과 HIP 관측 레코드의 단위가 다를 수 있음. 한국어는 Stellarium 번역 용례이며 학회 표준 음역이라고 단정하지 않음.,https://www.pas.rochester.edu/~emamajek/WGSN/IAU-CSN.txt | https://raw.githubusercontent.com/Stellarium/stellarium/master/po/stellarium-sky/ko.po,medium
3179,Schedar,,천사(天駟)의 구성별,현대 식별: α Cas. 2022-04-04 IAU-CSN의 V=2.24 기준 밝은 별. 고유명 적용 성분과 HIP 관측 레코드의 단위가 다를 수 있음. 확인한 한국어 통용 표기가 없어 name_ko를 비움. 전통 대응은 Stellarium korean 재구성에 한정; 성군 구성별 표시는 개별 고유명이 아님. 이 필드를 전통 성군의 유일 ID 또는 독점 검색 별칭으로 사용하지 않는다.,https://www.pas.rochester.edu/~emamajek/WGSN/IAU-CSN.txt | https://raw.githubusercontent.com/Stellarium/stellarium/master/skycultures/korean/index.json,low
3419,Diphda,디프다,,현대 식별: β Cet. 2022-04-04 IAU-CSN의 V=2.04 기준 밝은 별. 고유명 적용 성분과 HIP 관측 레코드의 단위가 다를 수 있음. 한국어는 Stellarium 번역 용례이며 학회 표준 음역이라고 단정하지 않음.,https://www.pas.rochester.edu/~emamajek/WGSN/IAU-CSN.txt | https://raw.githubusercontent.com/Stellarium/stellarium/master/po/stellarium-sky/ko.po,medium
3821,Achird,아키르드,천사(天駟)의 구성별,현대 식별: η Cas A. 2022-04-04 IAU-CSN의 V=3.46 기준 밝은 별. 고유명 적용 성분과 HIP 관측 레코드의 단위가 다를 수 있음. 한국어는 Stellarium 번역 용례이며 학회 표준 음역이라고 단정하지 않음. 전통 대응은 Stellarium korean 재구성에 한정; 성군 구성별 표시는 개별 고유명이 아님. 이 필드를 전통 성군의 유일 ID 또는 독점 검색 별칭으로 사용하지 않는다.,https://www.pas.rochester.edu/~emamajek/WGSN/IAU-CSN.txt | https://raw.githubusercontent.com/Stellarium/stellarium/master/po/stellarium-sky/ko.po | https://raw.githubusercontent.com/Stellarium/stellarium/master/skycultures/korean/index.json,medium
4427,Tiansi,,천사(天駟)의 구성별,현대 식별: γ Cas Aa. 2026-02 IAU 공지에서 신규 이름·HIP 대조. 고유명 적용 성분과 HIP 관측 레코드의 단위가 다를 수 있음. 확인한 한국어 통용 표기가 없어 name_ko를 비움. 전통 대응은 Stellarium korean 재구성에 한정; 성군 구성별 표시는 개별 고유명이 아님. 2025-11-12 채택된 γ Cas Aa의 이름. Navi는 이 표의 IAU 공식명으로 채택하지 않음. 이 필드를 전통 성군의 유일 ID 또는 독점 검색 별칭으로 사용하지 않는다.,https://www.iau.org/IAU/IAU/News/Ann2026/New-Star-Names-2026.aspx | https://raw.githubusercontent.com/Stellarium/stellarium/master/skycultures/korean/index.json,low
5447,Mirach,미라크,대장(大將),현대 식별: β And. 2022-04-04 IAU-CSN의 V=2.07 기준 밝은 별. 고유명 적용 성분과 HIP 관측 레코드의 단위가 다를 수 있음. 한국어는 Stellarium 번역 용례이며 학회 표준 음역이라고 단정하지 않음. 전통 대응은 Stellarium korean 재구성에 한정; 성군 구성별 표시는 개별 고유명이 아님. 이 필드를 전통 성군의 유일 ID 또는 독점 검색 별칭으로 사용하지 않는다.,https://www.pas.rochester.edu/~emamajek/WGSN/IAU-CSN.txt | https://raw.githubusercontent.com/Stellarium/stellarium/master/po/stellarium-sky/ko.po | https://raw.githubusercontent.com/Stellarium/stellarium/master/skycultures/korean/index.json,medium
6686,Ruchbah,루크바,,현대 식별: δ Cas Aa. 2022-04-04 IAU-CSN의 V=2.66 기준 밝은 별. 고유명 적용 성분과 HIP 관측 레코드의 단위가 다를 수 있음. 한국어는 Stellarium 번역 용례이며 학회 표준 음역이라고 단정하지 않음.,https://www.pas.rochester.edu/~emamajek/WGSN/IAU-CSN.txt | https://raw.githubusercontent.com/Stellarium/stellarium/master/po/stellarium-sky/ko.po,medium
